-35:17:28|||Counting down to launch
137:24:56|C|Kerwin|That's right, Jim. Sorry.
137:25:00|P|PAO|Less than 15 minutes away now from the scheduled time of the midcourse burn. 137 hours 25 minutes into the flight and Apollo 13 now 39,206 nautical miles away from Earth with a speed of 9,927 feet per second.
137:26:26|T|CDR|And you don't want me to automatically trim 5018, I take it.
137:26:42|C|Kerwin|That's affirm, Jim. Don't trim 5018.
137:26:46|T|CDR|Okay.
137:26:53|C|Kerwin|We just want you to cycle on through P41 to get the AVERAGE G and burn it out.
137:25:59|T|CDR|Okay.
137:27:51|C|Kerwin|Aquarius, Houston.
137:27:53|T|CDR|Go ahead.
137:27:54|C|Kerwin|Just for your information, we see 3.0 in register 1. We read you up 3.1 on the PAD. The actual DELTA-V was 3.05, and they warned me that it might come out 3.0.
137:28:11|T|CDR|Okay. That's a little burn.
137:28:13|C|Kerwin|Right.
137:29:36|C|Kerwin|Aquarius, Houston. Your attitude looks real good. We will give you a mark at 10 minutes to the burn, which is in 28 seconds.
137:29:46|T|CDR|Okay. We'll burn it in AGS and use the AGS ball.
137:29:54|C|Kerwin|Right. I was looking at the wrong clock, and we're a little under 10 minutes now. I'll give you a mark at 9 minutes. Okay?
137:30:05|T|CDR|That's fine.
137:30:07|P|PAO|Apollo Control. That was Joe Kerwin confirming to Jim Lovell, Spacecraft Commander, that spacecraft attitude for the burn does look good. We're at 137 hours 30 minutes into the flight. Now showing, Apollo 13 at 38,700 nautical miles away from Earth, current speed 9,990 feet per second.
137:30:36|C|Kerwin|Aquarius, Houston. We have 10 seconds until 9 minutes to the burn. 3, 2, 1  -
137:30:49|C|Kerwin|MARK.
137:30:50|C|Kerwin|Nine minutes.
137:30:53|T|CDR|Very well. That agrees with our event timer.
137:30:56|C|Kerwin|Okay.
137:33:45|P|PAO|Apollo Control coming up on 6 minutes to time of the midcourse burn. This burn performed will be a backup guiding system aboard Aquarius. The burn retrograde will provide a delta velocity of 3 feet per second and with a predicted burn duration of 21 seconds. We're at 137 hours 34 minutes into the flight, and this is Apollo Control, Houston. One correction. That burn duration is 23 seconds not 21 seconds. We're at 137 hours 35 minutes into the Flight. We show Apollo 13 at 38,303 nautical miles away from Earth, and with a velocity of 10,045 feet per second. Less than 5 minutes now away from scheduled time of ignition.
137:36:57|T|CDR|Okay, Houston. About 3 minutes to go, and we're all squared away.
137:37:14|C|Kerwin|And, Aquarius; Houston. Roger that. And we're standing by for your body-axis align and your zeroing 404, 405, 406, going to 470.
137:37:27|T|LMP|Okay. You'd asked - you'd asked me before, Joe, to go 400 plus 3, which I did. I assume you've changed the script again.
137:37:52|P|PAO|Less than 2 minutes away now from scheduled time of ignition. We're at 137 hours, 38 minutes in the flight.
137:38:08|C|Kerwin|Okay, Fred. We did tell you to do that a while ago, and it doesn't matter; you're looking good.
137:38:15|T|LMP|Okay.
137:38:47|P|PAO|One minute away now.
137:39:37|P|PAO|Ten seconds away now.
137:39:50|T|LMP|Yes. It looks like we had a minus 0.2 bias for 470. We're burning.
137:39:54|C|Kerwin|Copy that, Fred.
137:40:01|P|PAO|Fred Haise reporting that the burn is underway. We're at 137 hours, 40 minutes into the flight.
137:40:24|C|Kerwin|Good show, Aquarius.
137:40:28|P|PAO|We've shut down.
137:40:29|T|CDR|We're tweaking now, Joe.
137:40:31|C|Kerwin|Roger. Aquarius, Houston. You're good right where you are.
137:40:40|T|CDR|Okay. That's it.
137:40:49|T|LMP|Okay. If you're happy, can we maneuver to service module SEP attitude now?
137:40:57|C|Kerwin|That's affirmative, Aquarius.
137:41:01|P|PAO|That was Fred Haise requesting that 13 maneuver to service module separation attitude following this - this burn which went right on the money. We're at 137 hours, 41 minutes.
137:41:19|T|CDR|And I'm pitching up to the proper attitude.
137:41:23|C|Kerwin|Okay. We're looking at it.
137:41:26|T|CDR|And it's again necessary to use the TTCA to pitch.
137:41:30|C|Kerwin|Okay. Affirmative.
137:41:57|P|PAO|For the Service Module separation, Apollo 13 will pitch about 90 degrees along the radial axis. That's 90 degrees off the flight path angle. We show 13 at the present time at a distance of 37,581 nautical miles away with a velocity of 10,138 feet per second. We're now at 137 hours, 42 minutes into the mission. This is Apollo Control Houston.
137:43:55|C|Kerwin|Aquarius, Houston.
137:43:58|T|CDR|Go ahead, Houston.
137:43:59|C|Kerwin|Okay. Recommend you terminate P41.
137:44:08|T|CDR|Okay.
137:47:38|C|Slayton|Hey, Jim, have you broken into the medical kit per my recommendation a few hours ago?
137:47:46|T|CDR|Yes. Everything is taken care of, Deke.
137:47:49|C|Slayton|Okay, fine. You might hit it again in about 2 hours.
137:47:55|T|CDR|Okay.
137:48:09|P|PAO|Apollo Control Houston, 137 hours, 48 minutes. That was Donald K. Slayton on the line talking to Jim Lovell; the recommendation he referred to was the recommendation he made earlier in the morning that the Apollo 13 crew take Dexedrine tablets. We now show Apollo 13 in an altitude of 36,969 nautical miles.
137:50:13|P|PAO|Apollo Control, Houston. The guidance and control officer for the lunar module here in mission control confirms they are moving in an attitude now for separation.
137:50:37|C|Kerwin|Aquarius, Houston. AFT OMNI.
137:50:41|T|CDR|I beat you to it, Houston.
137:50:43|C|Kerwin|Yes. I thought you did, but I thought I'd say it anyway.
137:50:57|P|PAO|Our count down clock shows that we are 19 minutes away now from time of separation; service module jettison; for this Jack Swigert is in the command module; Jim Lovell and Fred Haise in the lunar module; Commander Lovell will fire the thruster, or fire the thrust, LM thrust to push the service module at one half foot per second; Swigert activates the PYROS with a switch in the command module. After separation, 13 will back off with the lunar module RCS at one half foot per second, providing the separation delta velocity of one foot per second. We are 137 hours, 52 minutes into the flight and Apollo 13 now 36,616 nautical miles away; this is Apollo Control Houston.
137:55:52|C|Kerwin|Okay, Aquarius; Houston. That attitude looks pretty good. How's Jack getting along?
137:55:58|T|CDR|He's getting along, all set to go. And I'm going to go into PGNS ATT HOLD.
137:56:02|C|Kerwin|Roger.
137:57:06|C|Kerwin|Aquarius, Houston.
137:57:10|T|CDR|Go ahead.
137:57:11|C|Kerwin|Roger. Again for fuel-consumption reasons, we'd like you to go back to the AGS mode you were in rather than PGNS ATT HOLD. Over.
137:57:20|T|CDR|Okay. I'm in PGNS MINIMUM IMPULSE right now while we're firing. And I'll go back to the AGS mode.
137:57:31|C|Kerwin|Okay, Jim. PGNS MIN IMPULSE is okay; AGS is okay too. It's your choice.
137:57:37|T|CDR|Soon as we get rid of the service module, Joe, I think I'll be able to maneuver a lot better.
137:57:42|C|Kerwin|Sure thing.
137:57:48|T|CDR|Okay, Jack just reported that all thrusters fired on both rings.
137:57:53|C|Kerwin|Real fine. Real fine.
137:58:12|P|PAO|That was the test of the thrusters on the command module, and as you heard, they all fired - we are at 137 hours, 58 minutes into the flight, and this is Apollo Control Houston.
137:58:32|T|CDR|And SM JETT at 138:12.
137:58:43|C|Kerwin|Roger. Understand; that's SM JETT, 138:12. It's not that time critical, Jim.
137:58:52|T|CDR|Can we do it at any time, Joe?
137:58:55|C|Kerwin|I think so, but let me check. Aquarius, Houston. That's affirmative. You can jettison the service module when you are ready; no big rush, but any time.
137:59:14|T|CDR|Okay. Sounds good.
138:00:41|C|Kerwin|Aquarius, Houston.
138:00:44|T|CDR|Go ahead.
138:00:45|C|Kerwin|Roger. We recommend that you use the AGS for the separation maneuver, because we'd like to get the proper weight in for the DAP before we use the PGNS again.
138:00:59|T|CDR|Roger. We will. Stand by.
138:01:05|P|PAO|Apollo Control Houston, 138 hours, 1 minutes into the flight; as you heard earlier, Joe Kerwin told Apollo 13 that they could separate at their convenience, that followed a time identified by Jim Lovell, which would be some 2 minutes after what we had earlier carried on the ground, we now show Apollo 13 at a distance of 35,729 nautical miles away from Earth, traveling at a speed of 10,400 feet per second. At 138 hours, 2 minutes, into the flight, this is Apollo Control Houston.
138:02:06|T|CDR|SM SEP.
138:02:09|C|Kerwin|Copy that.
138:02:20|P|PAO|We copied that report from Jim Lovell, of service module separation at 138 hours, 2 minutes, 8 seconds.
138:02:35|P|PAO|And as you heard, that was ahead of schedule. We presently show Apollo 13 at 35,611 nautical miles away from Earth.
138:03:53|T|CDR|Do you see it, Jack?
138:04:26|C|Kerwin|Okay, Aquarius; Houston. I recommend you terminate AVERAGE G. Over.
138:04:33|T|CDR|Okay, I've got her, Houston.
138:04:36|C|Kerwin|Beautiful, beautiful. And for you information, Jim, you'll be coming up on an RCS caution light for helium. No sweat. Over.
138:04:46|T|CDR|And there's one whole side of that spacecraft missing.
138:04:50|C|Kerwin|Is that right?
138:04:57|T|CDR|Right by the - Look out there, will you? Right by the high gain antenna, the whole panel is blown out, almost from the base to the engine.
138:05:09|C|Kerwin|Copy that.
138:05:22|T|LMP|Yes, it looks like it got to the SPS bell, too, Houston.
138:05:28|C|Kerwin|Think it zinged the SPS engine bell, huh?
138:05:31|T|LMP|That's the way it looks; unless that's just a dark brown streak. It's really a mess.
138:05:39|P|PAO|You heard that report from Jim Lovell, as Aquarius is moving away from the service module at the present time.
138:05:51|C|Kerwin|Okay, Jim. We'd like you to get some pictures, but we want you to conserve RCS. Don't make unnecessary maneuvers.
138:06:08|C|Kerwin|And, Jim; Houston. In particular, of course, we don't want any translation maneuvers.
138:06:16|T|CDR|Right on that. Joe, you realize that when I went up to the SM SEP attitude, I had to use TTCA to do it.
138:06:25|C|Kerwin|That's affirm. We know that. That's okay.
138:06:32|P|PAO|Fred Haise followed Jim's remark with the comment that it got through the service propulsion system bell too. That it was really a mess. We're at 138 hours 7 minutes into the flight. Apollo 13 now 35,200 nautical miles -
138:06:50|T|CDR|All right. She's drifting right down in front of our windows now, Houston.
138:06:55|C|Kerwin|Okay.
138:08:12|T|LMP|Okay, Joe, I'm now looking down the SPS bell, and it looks - looks okay on the inside; maybe it is just a streak.
138:08:19|C|Kerwin|Okay. Copy that, Fred. Was the bell deformed on the outside or just nicked or what?
138:08:33|T|CDR|I think the explosion, from what I could see, Joe, had - had stained it. I don't know whether it did any actual deformation or not.
138:08:41|C|Kerwin|Okay.
138:09:09|T|LMP|Man, that's unbelievable!
138:09:38|T|CDR|And, Joe, looks like a lot of - a lot of debris is just hanging out the side near the S-band antenna.
138:09:47|C|Kerwin|Roger, Jim.
138:10:43|C|Kerwin|Aquarius, Houston.
138:10:46|T|CDR|Go ahead.
138:10:47|C|Kerwin|I know you're busy, but when Jack gets a chance, we'd like BAT C current and MAIN A voltage in the command module.
138:12:19|T|CDR|Houston, Aquarius.
138:12:20|C|Kerwin|Go ahead,  Aquarius.
138:12:23|T|CDR|Okay. I've pitched up to about 180 degrees now, and do you want me to go to the LM SEP attitude for his alignment?
138:12:30|C|Kerwin|Stand by on that, Jim.
138:12:46|C|Kerwin|Aquarius, Houston.
138:12:48|T|CDR|Go ahead.
138:12:49|C|Kerwin|Roger. We want you to go to the service module SEP attitude.
138:12:54|T|CDR|Okay.
138:12:58|C|Kerwin|And, Jim, when you have leisure to copy, I have your NOUN 46 and NOUN 47 DAP data load numbers.
138:13:08|T|CDR|Okay. Go ahead.
138:13:10|C|Kerwin|Okay. NOUN 46, 31021; NOUN 47, plus 25248 and plus 09050. Over.
138:13:33|T|CDR|Roger; 31021, plus 25248, plus 09050.
138:13:40|C|Kerwin|That's correct.
138:14:27|T|CDR|And now, Houston, do you still think that AGS is going to be less expensive than PGNS mode?
138:14:33|C|Kerwin|That's affirmative, Jim.
138:14:36|T|CDR|Okay. I'm in AGS pulse right now. It's the pulse ...
138:14:40|C|Kerwin|Okay. We concur.
138:14:48|T|CDR|Going back to LM SEP attitude - or CSM SEP attitude.
138:14:53|C|Kerwin|Roger that.
138:15:26|P|PAO|This is Apollo Control Houston at 138 hours 15 minutes now into the mission. Apollo 13 presently 34,350 nautical miles out from Earth traveling at a speed of 10,607 feet per second. Meanwhile, in the Mission Control Center, the crowd is beginning to increase. Already here are Dr. Thomas Paine, NASA Administrator, Mr. George Low, a NASA Deputy Administrator, Representative George Miller from California and Chairman of the House Space Committee, Representative Olin Teague of Texas.
138:16:09|C|Kerwin|Aquarius, Houston.
138:16:13|T|CDR|Stand by. Jack's on the line and he says that he can't get the computer to go into standby.
138:16:20|C|Kerwin|Okay. Have him tell us what he's - what he looks at. And remind him that he won't see the light. He won't see the STANDBY light  -
138:16:31|T|CMP|Okay  -
138:16:32|C|Kerwin|-  because it's not powered  -
138:16:33|T|CMP|-  Okay, Joe  -
138:16:34|C|Kerwin|Go ahead, Jack.
138:16:35|T|CMP|Joe. Okay, I get a flashing 37, I am in PROGRAM 06. There is no STANDBY light, but when I ENTER, I don't get the three balls 62 displayed like I'm supposed to.
138:16:52|C|Kerwin|Okay, Jack  -
138:16:53|T|CMP|And this  -
138:16:54|C|Kerwin|Go ahead  -
138:16:55|T|CMP|-  and this occurs on both DSKYs.
138:16:58|C|Kerwin|Okay. Understand. We're - we're thinking about it. Stand by 1.
138:17:09|C|Kerwin|Okay, Jack; Houston. We'd like you to go VERB 37, ENTER; 06, ENTER again. Over.
138:17:17|T|CMP|Okay. In work.
138:17:19|C|Kerwin|Okay.
138:17:45|P|PAO|Continuing with those present at the Control Center, now, are Representative Jerry Pettis of California, General Phillips, who is previously the Apollo Program Director, George Miller, also a NASA alumni and formerly Associate Administrator for Manned Space Flight, Dave Scott, Rusty Schweickart are among the astronauts in the viewing room at the present time, along with Buzz Aldrin. Dr. Elbert Hart Reese, the Director of the Marshall Space Flight Center is in the viewing room, as is Dale Myers, Associated Administrator for Manned Space Flight at present. Mr. Walter Kapriyan, Director of Launch Operations at Kennedy Space Center. Dr. Kirk Debus the Director of Kennedy Space Center is in the viewing room, as is Lew Evans, the President of Grumman.
138:18:54|T|CDR|Okay, Houston. I'm back in the service module SEP attitude.
138:19:00|C|Kerwin|Okay. Copy that, Jim. Looks good. Do you know whether Jack got any pictures out of window 5? Was it still fogged up? Over.
138:19:09|T|CDR|I don't think so. I think he came right down here, because I think he saw it first in the - in the LM.
138:19:15|C|Kerwin|Okay. Good deal. And whenever you get cleaned up, we got the entry PAD and the landing area summary for you.
138:19:36|T|CMP|Okay, Vance. This is Jack.
138:19:39|C|Kerwin|Go ahead.
138:19:41|T|CMP|Okay. Doing a VERB 37, ENTER; does bring up the three balls 62 display, but I can't PROCEED on it on either DSKY and a VERB 33 doesn't work either.
138:19:55|C|Kerwin|Okay.
138:19:56|T|CMP|It's still just a flashing 5025 with a code 00062.
138:20:03|C|Kerwin|Okay. Copy that, Jack. Stand by 1.
138:20:20|P|PAO|Needless to say, all of the distinguished visitors in the Control Center were most interested in the report from Apollo 13 of the service module condition, as the 13 crew moved away following the jettison.
138:20:39|C|Kerwin|Jack, Houston. How long did you hold PROCEED before you quit on it?
138:20:49|T|CMP|Well, it was varying lengths. Is it suppose to be a long-time PROCEED?
138:20:56|C|Kerwin|We think it may be, Jack. We think it may be 15 to 20 seconds, and our recommendation is that you PRO and hold it down for a good period of time, probably half a minute or more, and see if the DSKY blanks.
138:21:11|T|CMP|Okay. All right, I didn't hold it in that long. Maybe 2 or 3 seconds is the longest I held it. Okay, in work.
138:21:15|C|Kerwin|Okay.
138:21:54|T|CDR|Okay, Jack just came down the tunnel again and said the computer's okay.
138:21:57|C|Kerwin|Okay. Good to hear it. And did you ever get that BAT C MAIN A reading for us?
138:22:05|T|CDR|I guess in the heat of the battle, I forgot to to give it to you, I guess. Stand by.
138:22:08|C|Kerwin|Okay.
138:22:25|T|CDR|BAT C current was 2 amps and BAT A voltage, 30.2.
138:22:30|C|Kerwin|Copy, 2 amps, 30.2. And that sounds good to us, Jim.
138:23:26|C|Kerwin|Aquarius, Houston.
138:23:29|T|CDR|Go ahead.
138:23:30|C|Kerwin|Okay. We'd like to have Jack verify that the PYROs in LOGIC are SAFE, and we'd like to remind him to do no further powerup of the CSM until EI minus 2 plus 30.
138:23:44|T|CDR|Roger. He reports that the PYROs are SAFE, and we're standing by for 02:30.
138:23:48|C|Kerwin|Okay. Real good.
138:24:06|T|CDR|Well, I can't say that this week hasn't been filled with excitement.
138:24:11|C|Kerwin|Well, James, if you can't take any better care of a spacecraft than that, we might not give you another one. Hey, Jim; Houston. You might ask Jack, while he's down there, to take a peek through the telescope and tell us whether he can see any stars. Over.
138:24:34|T|CDR|Okay.
138:24:41|P|PAO|That time earlier identified at 2 hours and 30 minutes is the time in the flight plan that the command module batteries will be brought on the line. In a normal mission, the batteries would not be brought up until some 30 minutes prior to entry into the Earth's atmosphere. We show Apollo 13 presently 33,369 nautical miles away, velocity now reading 10,757 feet per second. This is Apollo Control Houston.
138:26:20|T|CDR|Joe, Jack tells me that there's still a lot of particles floating around and he's - he can't pick out any constellations that he recognizes so far. But it might clear here in a little while.
138:26:30|C|Kerwin|Okay, understand.
138:30:56|C|Kerwin|Aquarius, Houston. Over.
138:30:59|T|CDR|Go ahead.
138:31:00|C|Kerwin|Okay. EECOM is looking at that battery amperage that you gave us awhile ago. He'd like to see it about a half an amp to an amp lower. Like you to ask Jack to just check the circuit breakers and switches that he's pulled in so far and make sure he doesn't have any extra loads on MAIN A; specifically, the FLOODLIGHT configuration, and his CAUTION AND WARNING circuit breakers, and his ESSENTIAL INSTRUMENTATION POWER circuit breakers. Over.
138:31:35|T|CDR|Okay.
138:31:37|C|Kerwin|Thanks.
138:34:39|T|CDR|Okay. Jack reported that he turned out all the floodlights.
138:34:45|C|Mattingly|Okay. Okay, we copied that. Like to have him check the amperage on there; see what you have now, and give us a voltage reading, too.
138:35:05|T|CDR|Okay, will do.
138:35:33|T|CMP|Okay, Joe. This is Jack.
138:35:35|C|Mattingly|Go ahead.
138:35:37|T|CMP|Okay. I've been not reading any voltage at all on BAT C, and the amperage looks like about 2 amps, but that could be kind of noise-level stuff. I've got all the floodlights off and I - Can you think of anything - I could power down to lower MAIN A.
138:35:53|C|Mattingly|Okay. How about reading the voltage off of MAIN A?
138:35:57|T|CMP|Okay. Oh, this is Ken. Okay. Ken, it was 30.2.
138:36:03|C|Mattingly|Okay. We're checking out the floodlights we gave you. Actually, Jack, you ought to be able to go ahead and use the lights we gave you. There's no reason to sit in the dark. They're supposed to be coming off of MAIN B, and we're checking that now.
138:36:19|T|CMP|Okay. It's not bad down there. We're in - got plenty of light. But should I be reading the voltage on BAT C?
138:36:39|C|Mattingly|Jack, you shouldn't be reading BAT C voltage. That circuit breaker should be open.
138:36:46|T|CMP|Okay. Okay, can you think of anything else you want to get turned off to lighten load on MAIN A?
138:37:01|C|Mattingly|Okay. We're perusing that subject right now, Jack. It's really not that big a thing, just something we wanted to dress up.
138:37:11|T|CMP|Okay.
138:37:52|P|PAO|Apollo Control Houston 138 hours 38 minutes into the flight -
138:37:57|C|Mattingly|Okay, Aquarius; Houston.
138:38:00|T|CDR|Go ahead.
138:38:01|C|Mattingly|Say, Jim, as something to try, you might have Jack turn off the RING 1's AUTO coils, which are probably on MAIN A. Have him turn those off and take a look at the readings.
138:38:13|T|CDR|Okay.
138:38:20|P|PAO|The Flight Dynamics Officer has just reported to Flight Director Gene Kranz that initial tracking following the mid-course burn shows that that burn was performed precisely as planned. We're at 138 hours 39 minutes into the flight, Apollo 13 now 32,012 nautical miles away with a velocity of 10,982 feet per second. This is Apollo Control Houston.
138:39:11|T|CDR|Okay. Jack has turned off RING 1 that was on MAIN A, and he's still reading 30.2 volts.
138:39:19|C|Kerwin|Roger that, Jim. What's his amperage? Did he read that off?
138:39:29|T|CDR|I guess. He says it's down in the mud; it's less than 2 amps.
138:39:32|C|Kerwin|Down in the mud. Okay, understand that. Request he turn them back on and - Okay, Jim, that's the AUTO coils back on RING 1, MAIN A, and when you get that done, I'd like you to copy the entry PAD.
138:40:25|T|CDR|Okay, Joe. Standing by to copy the entry PAD.
138:40:29|C|Kerwin|Okay, here we come. Entry pad: Mid-Pacific, 000,153; 000. The next two lines will be the GET of moonset and the Moon-check attitude; 142:38:17, 178; NOUN 61, minus 21.66, minus 165.37; 06.7; 36211, 6.51; 1168.9, 36292; 142:40:40; 00:28. The next four are N/A; D subzero is 4.00, 02:04; 00:17, 03:22, 08:14; 33, 353.1, 29.9. Boresight star is Sigma Libra, down 08.8, left 0.4; lift vector up. Comments: GDC for entry alignment, stars 31 and 23. The roll align 041, pitch 245, yaw 024, use EMS nonexit pattern. Maintain Moon-check attitude until moonset; then go to entry attitude or track horizon with the 36-degree window mark. Last comment: constant g entry is roll right. Over.
138:43:46|T|CDR|Entry pad as follows: Mid-PAC, 000, 153, 000; 142:38:17, 178; minus 21.66, minus 165.37; 06.7; 36211, 6.51; 1168.9, 36292; 142:40:40; 00:28. Next four columns are N/A; D subzero is 4.00, 02:04; 00:17, 03:22 08:14; 33, 353.1, 29.9. Zebra Libra, or something like that, Beta Libra is down 08.8, left 0.4; lift vector up; GDC entry alined, stars 31, 33. Roll 041, pitch, 045, yaw 024. EMS nonexit pattern to be used; maintain Moon check attitude until moonset, and if all else is lost, the constant g entry is right  -  Roll is right.
138:45:08|C|Kerwin|Okay. Roger that, Jim. I want to verify a couple of things I'm not sure I heard you read back. The first one was Zebra Libra (laughter) that's Sigma Libra. The set stars 31 and 23. Did you get that? Over.
138:45:27|T|CDR|Okay. No, I had 31 and 33, and I got Sigma Libra now, and it'll be 31 and 23 for the set stars.
138:45:34|C|Kerwin|Okay. And your GDC pitch align, I wasn't sure whether that was - whether you read back 245 or 045. The correct number is 245. Over.
138:45:45|T|CDR|Good show, because I have 045 down. 245.
138:45:48|C|Kerwin|Okay. And the Moon check here, unlike the horizon check, is on the 36-degree window mark all the way. Just wanted to repeat that.
138:46:08|T|CDR|Moon check on 30-degree window mark.
138:46:11|C|Kerwin|That's 36-degree window mark, Jim.
138:46:14|T|CDR|Three six. Roger.
138:46:16|C|Kerwin|Okay. Readback correct.
138:46:23|C|Kerwin|And, Aquarius; Houston. If you want me to read you the landing area summary, I'll do that.
138:46:31|T|CDR|Sounds good.
138:46:33|C|Kerwin|Okay. In the mid-Pacific landing area, the weather is good. The cloud cover is 2000, scattered; visibility, 10; winds 060 at 10; wave heights are 4 feet, and the altimeter 2986, if you care. Scattered showers less than 10 percent of the area. Recovery forces are as follows: the Iwo Jima will be at the touchdown point, the aircraft call sign will be Recovery 1, on station with swimmers on board. The - we have the constant g backup reentry area covered with the USS Hall, the Good Liberty Ship, and the other recovery aircraft whose call signs you may hear are Samoa Rescue C-130s.
138:47:31|T|CDR|Okay, fine. We have the Iwo Jima as the prime recovery ship.
138:47:34|C|Kerwin|That's correct.
138:50:37|T|CDR|Joe, Jack tells me he is still having trouble looking through the optics so I'm just going to pitch up a little bit more here to see if he can get into the dark spot.
138:50:46|C|Kerwin|Okay, real fine. You might tell him when we get to that point, we have some - some stars with corresponding shaft and trunnion angles to pass to him as backups in case the computer doesn't happen to point him straight at one. And it's the Summer Triangle.
138:51:16|T|CDR|And are you tracking us, and do you have any results on that last midcourse?
138:51:21|C|Kerwin|Stand by. It looks good. I'll try and get you numbers.
138:52:14|T|CDR|It feels nice to use the hand controller again.
138:52:19|C|Kerwin|Go ahead, Aquarius.
138:52:22|T|CDR|I just said, Joe, it feels nice to use the hand controller again.
138:52:25|C|Kerwin|Oh. Roger that. FIDO says he's got you nailed within a half a foot per second; the midcourse looked real good.
138:52:33|T|CDR|Okay.
138:52:35|C|Kerwin|And I've got two things we'd like Jack to do in the command module to ease the load on MAIN A. One of them is to verify or turn the CM/RCS HEATER switch to OFF. We're done with that, and even though the circuit breakers are pulled, the switches might be drawing a little current. And the second one is, we'd like him to turn SCS LOGIC POWER 2/3 to OFF; we don't need it now. It's called up in the checklist at the appropriate time, and we'd like him to turn that off. Over.
138:53:20|T|CDR|Okay. I'll tell Jack to check that the CM/RCS HEATER switch is off, and, if not, we'll turn it off; and also to turn off the SCS LOGIC POWER 2/3 switch, OFF, since it comes up later in the checklist.
138:53:34|C|Kerwin|That's correct.
138:53:55|P|PAO|This is Apollo Control Houston. You heard the entry PAD being passed up to Apollo 13; this PAD based on the last midcourse; lets quickly summarize the meaning of some of those numbers. We are presently looking at splash coordinates of 21 point 66 south lattitude, 165.37 west latitude, or longitude, max g of 6.7, velocity at entry interface of 36,211 feet per second, and an entry angle of minus 6.51; time of entry interface at 142 hours, 40 minutes, 40 seconds ground elapsed time; begin blackout 17 seconds, following entry innerface, end of blackout 3 minutes, 22 seconds following entry interface, deployment of the drogue chutes at 8 minutes, 14 seconds. Our digital display now shows Apollo 13 at a distance of 30,226 nautical miles away, with a velocity of 11,290 feet per second. We are 138 hours, 56 minutes into the flight, and this is Apollo Control Houston.
138:54:14|T|CDR|Houston, Aquarius. We're recording MAIN A voltage up to 31.0.
138:54:19|C|Kerwin|Roger. That's 31.0. We're smiling.
138:59:10|T|CDR|Houston, Aquarius.
138:59:11|C|Kerwin|Go, Aquarius.
138:59:14|T|CDR|Okay. How about if I hold a pitch attitude of about 115 instead of about 91. I think Jack can use the optics a little bit better at that angle.
138:59:28|C|Kerwin|Jim, that's perfectly okay with us, if it looks good for stars.
138:59:35|T|CDR|He just looked at them briefly; I'm going to have him look at them a little bit better here.
138:59:41|C|Kerwin|Okay. With the new attitude, our shaft and trunnion angles we were going to pass him don't mean anything, but it's more important to have a good star field.
139:09:45|C|Kerwin|Aquarius, Houston.
139:09:48|T|CDR|Go ahead.
139:09:49|C|Kerwin|Okay, Jim. We - We've been talking about your going to a different attitude than the PAD attitude for better star field vision out the command module, and what we'd like to have you do is this. If you can predict now or sometime soon, what attitude it is that you would like to hold at that time, and go to that attitude now, we'd like to be able to compute the coarse align gimbal angles for the CSM, and we can do that if you go to the selected attitude, hold it, call up a VERB 06 NOUN 20, and read us your LM gimbal angles, we can take those and compute CSM coarse align gimbal angles on the assumption that, when we get back into the CSM coarse align, you will return to that selected attitude. Does that sound okay? Over.
139:10:46|T|CDR|Yes. I'll try to hold the attitude we select directly, while you're giving us the coarse align attitude. We're not too sure what - what's the best attitude. I'm going to ask Jack again if 115 is sufficient for him.
139:11:02|C|Kerwin|Okay. You can take some time figuring out the best attitude, and then you won't have to hold it all the way from now until then, if you just get back to it.
139:12:58|T|CDR|Houston, Jack would like to know what constellations are in his sextant, or scanning telescope field of view at an attitude of about 105 pitch, zero roll, zero yaw. Can you give that to us?
139:13:15|C|Kerwin|Okay. We'll sure give it a go. As I said, we - We have some stars. They're not - They're not centered with the shaft and trunnion zero. Let us take a quick look at 105 pitch, shaft and trunnion zero, and see if we can get you an answer.
139:13:52|C|Kerwin|Aquarius, Houston.
139:13:55|T|CDR|Go ahead.
139:13:56|C|Kerwin|Roger. These - None of these stars will be exactly centered, but, at a pitch attitude of 115, we had computed that Vega, Altair, Rasalhague, and Deneb would all be in the telescope field of view, and the first three were also in view at the 91-degree pitch, so he should be able to see one or more of those four stars. Over.
139:14:30|T|CDR|Okay. Thank you, very much.
139:14:33|C|Kerwin|Okay. And, Jim, I can give shaft and trunnions if - if he's interested.
139:14:42|T|CDR|Okay. Why don't you give us the shaft and trunion for - say, Altair at 115, and I'll go up there, and I'll see if he can pick it up.
139:14:52|C|Kerwin|Okay. Real fine, At 115 degrees of pitch, Altair, shaft 274, trunnion 22.2. Over.
139:15:08|T|CDR|Roger. Shaft is 274, trunnion 22.2.
139:15:11|C|Kerwin|That's affirm.
139:15:44|C|Kerwin|Aquarius, Houston.
139:15:47|T|CDR|Go ahead, Joe.
139:15:48|C|Kerwin|Okay, Jim. In the LM, there we have - We show battery 3 only drawing about an amp, and we think it's probably time to get it off the line; battery 3 to OFF/RESET. Over.
139:16:10|T|CDR|Battery 3 is OFF/RESET.
139:16:12|C|Kerwin|Okay.
139:16:19|T|CDR|Just how's our power consumption, Houston, just out of curiosity?
139:16:25|C|Kerwin|I'll verify it, Jim. I'm sure it's okay.
139:16:47|C|Kerwin|Okay, Aquarius; Houston. With the present amount of power you've got in the LM, which is over 500 amp-hours, and the rate you're using them, we figure you've got almost 12 hours of power left.
